,index,Name,Pose,Gold.Goldscore.Fitness,Gold.PLP.Fitness,Hbond,Mean,Cluster_from_mean,Cluster_from_no_mean
0,0,3nx8_1,1,42.6725,23.7484,0,33.21045,1,1
1,1,3nx8_1,2,43.2695,22.2377,0,32.7536,1,1
2,2,3nx8_1,3,29.5911,12.2043,1,20.8977,0,3
3,3,3nx8_1,4,36.0195,10.0665,0,23.043,0,1
4,4,3nx8_1,5,39.6541,26.8856,0,33.26985,1,1
5,5,3nx8_1,6,41.4589,24.1496,1,32.804249999999996,3,0
6,6,3nx8_1,7,35.3402,28.9428,1,32.1415,3,0
7,7,3nx8_1,8,37.4491,10.4399,0,23.9445,0,1
8,8,3nx8_1,10,35.3759,28.9653,1,32.1706,3,0
9,9,3nx8_3,1,28.8418,23.4943,1,26.16805,3,3
10,10,3nx8_3,2,26.4684,25.1518,1,25.8101,0,3
11,11,3nx8_3,3,31.0773,27.4719,1,29.2746,3,0
12,12,3nx8_3,4,24.4698,25.0656,0,24.767699999999998,0,1
13,13,3nx8_3,5,28.3198,22.7045,1,25.51215,0,3
14,14,3nx8_3,6,24.527,22.4631,1,23.49505,0,3
15,15,3nx8_3,7,26.7733,28.4682,1,27.62075,3,0
16,16,3nx8_3,8,27.5173,27.7142,2,27.61575,2,0
17,17,3nx8_3,9,29.3119,23.1098,1,26.21085,3,3
18,18,3nx8_3,10,26.5008,24.8033,0,25.652050000000003,0,1
19,19,3l9n_0,1,37.5782,34.9035,1,36.24085,3,0
20,20,3l9n_0,2,37.1623,36.3523,1,36.7573,3,0
21,21,3l9n_0,3,36.1422,36.525,0,36.333600000000004,1,2
22,22,3l9n_0,4,37.7007,29.516,1,33.60835,3,0
23,23,3l9n_0,5,35.9469,37.5298,1,36.73835,3,0
24,24,3l9n_0,6,35.1121,28.5466,1,31.829349999999998,3,0
25,25,3l9n_0,7,35.4497,36.8521,1,36.1509,3,0
26,26,3l9n_0,8,35.0675,34.0467,1,34.557100000000005,3,0
27,27,3l9n_0,9,33.909,30.7191,0,32.31405,1,1
28,28,3l9n_0,10,36.7959,25.4168,1,31.10635,3,0
29,29,3ovv_1,1,44.9796,48.4548,0,46.7172,1,2
30,30,3ovv_1,2,46.7868,41.1939,1,43.99035,3,2
31,31,3ovv_1,3,38.0422,35.162,0,36.6021,1,2
32,32,3ovv_1,4,44.6497,39.9104,1,42.28005,3,2
33,33,3ovv_1,5,32.2902,36.6501,0,34.470150000000004,1,1
34,34,3ovv_1,6,42.51,37.1081,0,39.80905,1,2
35,35,3ovv_1,7,42.4077,42.528,2,42.46785,2,0
36,36,3ovv_1,8,41.6004,45.5826,1,43.591499999999996,3,2
